-205,0.166940743,0.211869009
-200,0.16395623,0.206781374
-195,0.160954264,0.201693739
-190,0.157934844,0.196606104
-185,0.154897971,0.191518469
-180,0.151843645,0.186430835
-175,0.148771865,0.1813432
-170,0.145682633,0.176255565
-165,0.142575947,0.17116793
-160,0.139451807,0.166080296
-155,0.136310215,0.160992661
-150,0.133151169,0.155905026
-145,0.129974669,0.150817391
-140,0.126780717,0.145729757
-135,0.123569311,0.140642122
-130,0.120340452,0.135554487
-125,0.11709414,0.130466852
-120,0.113830374,0.125379217
-115,0.110549155,0.120291583
-110,0.107250483,0.115203948
-105,0.103934357,0.110116313
-100,0.100600778,0.105028678
-95,0.097249746,0.099941044
-90,0.09388126,0.094853409
-85,0.090495322,0.089765774
-80,0.08709193,0.084678139
-75,0.083671084,0.079590505
-70,0.080232786,0.07450287
-65,0.076777034,0.069415235
-60,0.073303829,0.0643276
-55,0.06981317,0.059239965
-50,0.066305058,0.054152331
-45,0.062779493,0.049064696
-40,0.059236475,0.043977061
-35,0.055676003,0.038889426
-30,0.052098078,0.033801792
-25,0.0485027,0.028714157
-20,0.044889868,0.023626522
-15,0.041259584,0.018538887
-10,0.037611845,0.013451253
-5,0.033946654,0.008363618
0,0.030264009,0.003275983
5,0.026563911,-0.001811652
10,0.02284636,-0.006899287
15,0.019111355,-0.011986921
20,0.015358897,-0.017074556
25,0.011588986,-0.022162191
30,0.007801622,-0.027249826
35,0.003996804,-0.03233746
40,0.000174533,-0.037425095
45,-0.003665191,-0.04251273
50,-0.007522369,-0.047600365
55,-0.011397,-0.052687999
60,-0.015289084,-0.057775634
65,-0.019198622,-0.062863269
70,-0.023125613,-0.067950904
75,-0.027070057,-0.073038539
80,-0.031031954,-0.078126173
85,-0.035011305,-0.083213808
90,-0.039008109,-0.088301443
95,-0.043022366,-0.093389078
100,-0.047054077,-0.098476712
105,-0.05110324,-0.103564347
110,-0.055169858,-0.108651982
115,-0.059253928,-0.113739617
120,-0.063355452,-0.118827251
125,-0.067474429,-0.123914886
130,-0.071610859,-0.129002521
135,-0.075764743,-0.134090156
140,-0.07993608,-0.139177791
145,-0.08412487,-0.144265425
