8.833533000000000000e+06,4.378083801269531250e+02,-5.884584960937500000e+02,3.428000000000000000e+03
8.866866000000000000e+06,4.252223815917968750e+02,-6.152675781250000000e+02,3.331000000000000000e+03
8.933533000000000000e+06,3.720191345214843750e+02,-6.762221679687500000e+02,3.022000000000000000e+03
8.966866000000000000e+06,3.612073974609375000e+02,-7.019790039062500000e+02,2.861000000000000000e+03
9.033533000000000000e+06,3.266226806640625000e+02,-6.875053710937500000e+02,2.525000000000000000e+03
9.066866000000000000e+06,3.102479553222656250e+02,-6.679174194335937500e+02,2.360000000000000000e+03
9.133533000000000000e+06,2.773013000488281250e+02,-5.997113647460937500e+02,2.027000000000000000e+03
9.166866000000000000e+06,2.583650817871093750e+02,-5.479857788085937500e+02,1.859000000000000000e+03
9.233544000000000000e+06,2.245422210693359375e+02,-4.117779235839843750e+02,1.519000000000000000e+03
9.266877000000000000e+06,2.134319610595703125e+02,-3.295169372558593750e+02,1.362000000000000000e+03
9.366866000000000000e+06,1.592369689941406250e+02,-1.810434341430664062e+01,8.770000000000000000e+02
